id,name,mode,lat,lon,live_crowding_percentage,live_data_available,day_of_week,last_updated
940GZZLUSTM,Stanmore Underground Station,tube,51.619839,-0.303266,12.19,True,WED,18:01
940GZZLUSUH,Sudbury Hill Underground Station,tube,51.556946,-0.336435,8.7,True,WED,18:01
940GZZLUSUT,Sudbury Town Underground Station,tube,51.550815,-0.315745,8.96,True,WED,18:01
940GZZLUSVS,Seven Sisters Underground Station,tube,51.58333,-0.072584,,False,,
940GZZLUSWC,Swiss Cottage Underground Station,tube,51.543681,-0.174894,33.03,True,WED,18:01
940GZZLUSWF,South Woodford Underground Station,tube,51.591907,0.027338,18.49,True,WED,18:01
940GZZLUSWK,Southwark Underground Station,tube,51.50427,-0.105331,38.76,True,WED,18:01
940GZZLUSWN,South Wimbledon Underground Station,tube,51.415309,-0.192005,17.57,True,WED,18:01
940GZZLUTAW,Totteridge & Whetstone Underground Station,tube,51.630597,-0.17921,16.11,True,WED,18:01
940GZZLUTBC,Tooting Bec Underground Station,tube,51.435678,-0.159736,26.98,True,WED,18:01
940GZZLUTBY,Tooting Broadway Underground Station,tube,51.42763,-0.168374,49.54,True,WED,18:01
940GZZLUTCR,Tottenham Court Road Underground Station,tube,51.516426,-0.13041,66.94,True,WED,18:01
940GZZLUTFP,Tufnell Park Underground Station,tube,51.556822,-0.138433,23.09,True,WED,18:01
940GZZLUTHB,Theydon Bois Underground Station,tube,51.671759,0.103085,5.25,True,WED,18:01
940GZZLUTMH,Tottenham Hale Underground Station,tube,51.588108,-0.060241,39.06,True,WED,18:01
940GZZLUTMP,Temple Underground Station,tube,51.511006,-0.11426,40.44,True,WED,18:01
940GZZLUTNG,Turnham Green Underground Station,tube,51.495148,-0.254555,23.23,True,WED,18:01
940GZZLUTPN,Turnpike Lane Underground Station,tube,51.590272,-0.102953,29.22,True,WED,18:01
940GZZLUTWH,Tower Hill Underground Station,tube,51.509971,-0.076546,55.69,True,WED,18:01
940GZZLUUPB,Upminster Bridge Underground Station,tube,51.55856,0.235809,9.31,True,WED,18:01
940GZZLUUPK,Upton Park Underground Station,tube,51.53534,0.035263,23.62,True,WED,18:01
940GZZLUUPM,Upminster Underground Station,tube,51.559063,0.250882,17.5,True,WED,18:01
940GZZLUUPY,Upney Underground Station,tube,51.538372,0.10153,9.09,True,WED,18:01
940GZZLUUXB,Uxbridge Underground Station,tube,51.546565,-0.477949,19.95,True,WED,18:01
